,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Garage-Spaces,Home-Type,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
4,"2863 S Bascom Ave APT 808, Campbell, CA 95008",Campbell,95008,CA,2,599000,COMPASS,445.0,603718,https://www.zillow.com/homedetails/2863-S-Bascom-Ave-APT-808-Campbell-CA-95008/19671015_zpid/,841.0,2,0, Condo,1984, Public Utilities,95.26,7168.0,532888.0
16,"6035 Admiralty Pl, San Jose, CA 95123",San Jose,95123,CA,3,895000,GOLDEN GATE SOTHEBY'S,117.0,919331,https://www.zillow.com/homedetails/6035-Admiralty-Pl-San-Jose-CA-95123/19832279_zpid/,1328.0,3,0, Single Family,1994, Public Utilities,81.65,8062.0,590585.0
19,"761 Bonita Pl, San Jose, CA 95116",San Jose,95116,CA,3,642888,KW BAY AREA ESTATES,240.0,655351,https://www.zillow.com/homedetails/761-Bonita-Pl-San-Jose-CA-95116/64756811_zpid/,1231.0,3, 2, Townhouse,2005," Individual Electric Meters, Public Utilities, Individual Gas Meters",93.25,3979.0,271922.0
29,"100 Ballatore Ct, San Jose, CA 95134",San Jose,95134,CA,3,999900,HAYLEN,354.0,1108618,https://www.zillow.com/homedetails/100-Ballatore-Ct-San-Jose-CA-95134/19489908_zpid/,1405.0,3, 2, Townhouse,1993," Individual Electric Meters, Individual Gas Meters",89.16,7983.0,600086.0
30,"2664 Senter Rd APT 221, San Jose, CA 95111",San Jose,95111,CA,2,550000,CENTURY 21,350.0,558800,https://www.zillow.com/homedetails/2664-Senter-Rd-APT-221-San-Jose-CA-95111/19739366_zpid/,1026.0,2, 1, Condo,1989, Other,70.45,5497.0,393244.0
32,"3106 Capewood Ln, San Jose, CA 95132",San Jose,95132,CA,5,1299000,COLDWELL BANKER,16.0,1381261,https://www.zillow.com/homedetails/3106-Capewood-Ln-San-Jose-CA-95132/19485231_zpid/,2110.0,4, 1, Single Family,1964, Public Utilities,93.66,4301.0,246248.0
38,"3633 Jasmine Cir, San Jose, CA 95135",San Jose,95135,CA,2,699000,INFINITI REAL ESTATE,250.0,718200,https://www.zillow.com/homedetails/3633-Jasmine-Cir-San-Jose-CA-95135/54772376_zpid/,1037.0,2, 1, Condo,2000, Public Utilities,95.17,6363.0,422352.0
47,"242 Jersey St, San Francisco, CA 94114",San Francisco,94114,CA,3,1249000,COMPASS,125.0,1306803,https://www.zillow.com/homedetails/242-Jersey-St-San-Francisco-CA-94114/15180224_zpid/,1232.0,1,0, Condo,1900,Unknown,87.32,13111.0,1056913.0
49,"168 Dorantes Ave, San Francisco, CA 94116",San Francisco,94116,CA,4,2575000,BERKSHIRE HATHAWAY,68.0,2703864,https://www.zillow.com/homedetails/168-Dorantes-Ave-San-Francisco-CA-94116/15133182_zpid/,3216.0,4,0, Single Family,1932,Unknown,90.92,23589.0,1933625.0
52,"2257 Fulton St, San Francisco, CA 94117",San Francisco,94117,CA,2,1199000,ACKERMAN REALTY GROUP,384.0,1411140,https://www.zillow.com/homedetails/2257-Fulton-St-San-Francisco-CA-94117/125218537_zpid/,1350.0,2, 1, Condo,1910,Unknown,91.64,14314.0,1158911.0
58,"116 Bayview Cir, San Francisco, CA 94124",San Francisco,94124,CA,2,799000,CORCORAN GLOBAL LIVING,357.0,803227,https://www.zillow.com/homedetails/116-Bayview-Cir-San-Francisco-CA-94124/15156811_zpid/,1301.0,2, 1, Single Family,1985,Unknown,92.62,8141.0,635841.0
60,"1249 Rhode Island St, San Francisco, CA 94107",San Francisco,94107,CA,2,1049000,CORCORAN GLOBAL LIVING,250.0,1063514,https://www.zillow.com/homedetails/1249-Rhode-Island-St-San-Francisco-CA-94107/15152126_zpid/,1030.0,1, 1, Condo,1911,Unknown,94.44,8004.0,624172.0
93,"1397 Barrows Rd, Oakland, CA 94610",Oakland,94610,CA,2,949000,COMPASS,16.0,973567,https://www.zillow.com/homedetails/1397-Barrows-Rd-Oakland-CA-94610/24765630_zpid/,1130.0,1, 1, Single Family,1946,Unknown,90.55,14401.0,969000.0
