,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"100 Parnassus Rd, Berkeley, CA 94708",Berkeley,94708,CA,2,1325000,Compass,Not_Found,1354208,https://www.zillow.com/homedetails/100-Parnassus-Rd-Berkeley-CA-94708/24843889_zpid/,"1,598",2,Not_Found,Not_Found, 1, 2, Yes,"6,446", Single Family, No,1958,Not_Found,93.75," $11,187"," $763,731"
1,"40 Brookside Ave, Berkeley, CA 94705",Berkeley,94705,CA,6,2795000,BERKSHIRE HATHAWAY-FRANCISCAN,Not_Found,2912556,https://www.zillow.com/homedetails/40-Brookside-Ave-Berkeley-CA-94705/24850722_zpid/,"4,441",4, 4,Not_Found, 1,Not_Found," 2, Wood Burning","7,618", Single Family, No,1925,Not_Found,94.39," $9,570"," $192,098"
2,"2623 Virginia St, Berkeley, CA 94709",Berkeley,94709,CA,4,1225000,DISTRICT HOMES,Not_Found,1370394,https://www.zillow.com/homedetails/2623-Virginia-St-Berkeley-CA-94709/24839721_zpid/,"1,875",4, 2, 2, 1,Not_Found,Not_Found,"1,816", Single Family, No,1929,Not_Found,89.83," $9,033"," $360,795"
3,"185 Hill Rd, Berkeley, CA 94708",Berkeley,94708,CA,2,1510000,Compass,Not_Found,1385751,https://www.zillow.com/homedetails/185-Hill-Rd-Berkeley-CA-94708/24844371_zpid/,"1,476",3, 2, 1, 2, Two Story,Not_Found,"10,484", Single Family, No,1957,Not_Found,Not_Found," $20,257"," $1,350,000"
4,"1135 The Alameda, Berkeley, CA 94707",Berkeley,94707,CA,4,1295000,RED OAK REALTY,Not_Found,1545333,https://www.zillow.com/homedetails/1135-The-Alameda-Berkeley-CA-94707/24844984_zpid/,"1,805",2, 2,Not_Found, 2,Not_Found,Not_Found,"7,535", Single Family, No,1920,Not_Found,93.07," $4,532"," $125,273"
5,"1427 Holly St, Berkeley, CA 94703",Berkeley,94703,CA,2,975000,McGuire Real Estate,Not_Found,1077003,https://www.zillow.com/homedetails/1427-Holly-St-Berkeley-CA-94703/24840986_zpid/,"1,046",1, 1,Not_Found, 0,Not_Found,Not_Found,"3,484", Single Family, No,1925,Not_Found,94.71," $10,036"," $700,566"
6,"1716 Stuart St, Berkeley, CA 94703",Berkeley,94703,CA,3,975000,THE GRUBB CO. INC.,Not_Found,1323707,https://www.zillow.com/homedetails/1716-Stuart-St-Berkeley-CA-94703/24831192_zpid/,"1,556",2, 2,Not_Found, 1,Not_Found,Not_Found,"4,051", Single Family, No,1912,Not_Found,94.71," $10,111"," $650,432"
7,"646 Colusa Ave, Berkeley, CA 94707",Berkeley,94707,CA,4,1995000,Keller Williams Realty,Not_Found,1859824,https://www.zillow.com/homedetails/646-Colusa-Ave-Berkeley-CA-94707/24846631_zpid/,"2,552",5, 4, 1, 1, Three or More Stories,Not_Found,"3,998", Single Family, No,1926,Not_Found,84.27," $16,453"," $1,084,545"
8,"1934 Berryman St, Berkeley, CA 94709",Berkeley,94709,CA,2,979000,BHG HIGHLAND PARTNERS,Not_Found,739809,https://www.zillow.com/homedetails/1934-Berryman-St-Berkeley-CA-94709/24843269_zpid/,"1,160",2, 2,Not_Found, 1,Not_Found,Not_Found,"3,497", Single Family, No,1910,Not_Found,80.23," $11,244"," $786,641"
9,"1583 Arch St, Berkeley, CA 94708",Berkeley,94708,CA,2,829000,RED OAK REALTY, $425/mo,880832,https://www.zillow.com/homedetails/1583-Arch-St-Berkeley-CA-94708/24840141_zpid/,"1,132",2, 1, 1, 1,Not_Found,Not_Found,Not_Found, Condo, No,1924,Not_Found,93.75," $5,561"," $297,833"
10,"6414 Benvenue Ave, Oakland, CA 94618",Oakland,94618,CA,3,895000,COLDWELL BANKER REALTY,Not_Found,951234,https://www.zillow.com/homedetails/6414-Benvenue-Ave-Oakland-CA-94618/24756478_zpid/,"1,840",3, 3,Not_Found, 2,Not_Found,Not_Found,"5,501", Single Family, No,1923,Not_Found,Not_Found," $1,253"," $79,070"
