,Address,Price,City,Bedrooms,Living-Area,Total-Bathrooms,Home-Type,Distance,Duration
0,"2863 S Bascom Ave APT 808, Campbell, CA 95008",599000,Campbell,2,841.0,2, Condo,38.5,39 mins
1,"6035 Admiralty Pl, San Jose, CA 95123",895000,San Jose,3,1328.0,3, Single Family,42.7,42 mins
2,"761 Bonita Pl, San Jose, CA 95116",642888,San Jose,3,1231.0,3, Townhouse,36.5,37 mins
3,"100 Ballatore Ct, San Jose, CA 95134",999900,San Jose,3,1405.0,3, Townhouse,30.4,32 mins
4,"2664 Senter Rd APT 221, San Jose, CA 95111",550000,San Jose,2,1026.0,2, Condo,40.1,41 mins
5,"3106 Capewood Ln, San Jose, CA 95132",1299000,San Jose,5,2110.0,4, Single Family,35.9,38 mins
6,"3633 Jasmine Cir, San Jose, CA 95135",699000,San Jose,2,1037.0,2, Condo,44.4,46 mins
7,"242 Jersey St, San Francisco, CA 94114",1249000,San Francisco,3,1232.0,1, Condo,11.1,16 mins
8,"168 Dorantes Ave, San Francisco, CA 94116",2575000,San Francisco,4,3216.0,4, Single Family,11.7,17 mins
9,"2257 Fulton St, San Francisco, CA 94117",1199000,San Francisco,2,1350.0,2, Condo,14.0,20 mins
10,"116 Bayview Cir, San Francisco, CA 94124",799000,San Francisco,2,1301.0,2, Single Family,8.7,12 mins
11,"1249 Rhode Island St, San Francisco, CA 94107",1049000,San Francisco,2,1030.0,1, Condo,10.2,12 mins
12,"1397 Barrows Rd, Oakland, CA 94610",949000,Oakland,2,1130.0,1, Single Family,23.4,26 mins
13,"48 Heritage, Oakland, CA 94605",699000,Oakland,3,1636.0,3, Townhouse,29.8,31 mins
14,"77 Starview Dr, Oakland, CA 94618",1150000,Oakland,3,1873.0,3, Townhouse,25.0,26 mins
15,"675 8th St APT 17, Oakland, CA 94607",549000,Oakland,1,800.0,2, Condo,22.1,23 mins
16,"34226 Petard Ter, Fremont, CA 94555",1048000,Fremont,3,1755.0,3, Townhouse,25.6,29 mins
17,"34279 Mimosa Ter, Fremont, CA 94555",1435000,Fremont,4,2159.0,3, Single Family,24.8,28 mins
18,"47232 Cavanaugh Cmn, Fremont, CA 94539",1230000,Fremont,3,1771.0,4, Townhouse,37.4,38 mins
19,"34321 Gadwall Cmn, Fremont, CA 94555",868800,Fremont,2,1554.0,3, Townhouse,26.7,30 mins
20,"169 Rabbit Ct, Fremont, CA 94539",1389000,Fremont,3,1728.0,3, Single Family,38.3,39 mins
21,"49002 Cinnamon Fern Cmn UNIT 312, Fremont, CA 94539",430647,Fremont,3,1382.0,2, Condo,35.1,36 mins
22,"35935 Killorglin Cmn, Fremont, CA 94536",1100000,Fremont,3,1460.0,3, Single Family,29.6,37 mins
23,"34246 Trampini Cmn 78, Fremont, CA 94555",1249800,Fremont,4,2086.0,3, Townhouse,24.8,28 mins
24,"38646 Aurora Ter, Fremont, CA 94536",618000,Fremont,2,1123.0,2, Townhouse,31.2,38 mins
25,"2491 Corriea Way, Fremont, CA 94539",1289900,Fremont,3,1306.0,3, Single Family,32.9,40 mins
26,"34122 Asti Ter, Fremont, CA 94555",1024998,Fremont,3,1701.0,4, Townhouse,24.8,27 mins
27,"3924 Match Point Ave, Santa Rosa, CA 95407",559000,Santa Rosa,3,1617.0,3, Single Family,77.2,1 hour 15 mins
28,"2260 Knolls Hills Cir, Santa Rosa, CA 95405",535000,Santa Rosa,3,1633.0,2, Condo,76.5,1 hour 15 mins
29,"790 Shiloh Cyn, Santa Rosa, CA 95403",4695000,Santa Rosa,5,6874.0,5, Single Family,76.9,1 hour 27 mins
30,"6453 Meadowridge Dr, Santa Rosa, CA 95409",849000,Santa Rosa,3,1800.0,2, Single Family,74.3,1 hour 28 mins
31,"1712 Las Raposas Ct, Santa Rosa, CA 95409",385000,Santa Rosa,3,1220.0,2, Condo,78.0,1 hour 19 mins
32,"2408 Lakeview Dr, Santa Rosa, CA 95405",480000,Santa Rosa,3,1309.0,2, Condo,77.5,1 hour 16 mins
33,"1344 Woodhaven Dr, Santa Rosa, CA 95407",519000,Santa Rosa,3,1245.0,3, Single Family,74.2,1 hour 14 mins
34,"2719 Spindrift Ct, Hayward, CA 94545",1399999,Hayward,5,3651.0,3, Single Family,21.3,25 mins
